tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio,invest_por_MW
UHE,UHE Mauá,A-5,Leilão 4/2006,361.0,197.7,192,112.96,Telêmaco Borba e Ortigueira/PR,Água,PIE,882849520.0,"Copel Geração S.A. (51%) e Eletrosul Centrais Elétricas S.A. (49%), que compõem o Consórcio Cruzeiro do Sul",2445566.537396122
UTE,UTE Quatá (Ampliação),A-5,Leilão 4/2006,60.0,10.5,10,137.0,Quatá/SP,Bagaço de Cana-de-Açúcar,PIE,109044000.0,Açucareira Quatá S.A.,1817400.0
UTE,UTE Usina Bonfim,A-5,Leilão 4/2006,59.0,23.4,21,137.6,Guariba/SP,Bagaço de Cana-de-Açúcar,PIE,116140000.0,Corona Bioenergia S.A.,1968474.5762711863
UTE,UTE Ferrari,A-5,Leilão 4/2006,31.0,8.2,8,138.0,Pirassununga/SP,Bagaço de Cana-de-Açúcar,PIE/AP,76816000.0,Ferrari Agorindústria Ltda,2477935.4838709678
UTE,UTE Boa Vista,A-5,Leilão 4/2006,80.0,36.2,11,134.99,Quirinópolis/GO,Bagaço de Cana-de-Açúcar,PIE/AP,153600000.0,Usina Boa Vista S.A.,1920000.0
UTE,UTE Baia Formosa (Ampliação),A-5,Leilão 4/2006,32.0,11.0,11,137.7,Baía Formosa/RN,Bagaço de Cana-de-Açúcar,PIE,41359230.0,Vale Verde Empreendimentos Agrícolas Ltda.,1292475.9375
UTE,UTE Palmeiras de Goiás.,A-5,Leilão 4/2006,174.3,69.8,69,137.6,Palmeiras do Goiás/GO,Óleo Diesel,PIE,272969000.0,Energia Elétrica do Brasil Ltda.,1566087.2059667238
UTE,UTE do Atlântico,A-5,Leilão 4/2006,490.0,419.8,200,136.88,Rio de Janeiro/RJ,Gás de Processo e Vapor de Processo,PIE/AP,1205000000.0,Thyssenkrupp CSA Companhia Siderúrgica,2459183.673469388
UTE,UTE MPX,A-5,Leilão 1/2007,700.0,631.0,615,125.95,Caucaia/CE,Carvão Mineral,PIE,2101430000.0,MPX Mineração e Energia Ltda.,3002042.8571428573
UTE,UTE Termomaranhão,A-5,Leilão 1/2007,350.0,332.7,315,128.95,São Luiz/MA,Carvão Mineral,PIE,1413000000.0,Diferencial Energia Empreendimentos e Participações Ltda.,4037142.8571428573
UTE,UTE Maracanaú II,A-5,Leilão 1/2007,73.71,53.0,51,130.95,Pecém/CE,Óleo OCB1,PIE,183000000.0,Thèrmes Participações S.A.,2482702.482702483
UTE,UTE Suape II,A-5,Leilão 1/2007,355.68,265.4,265,131.49,Cabo de Santo  Agostinho/PE,Óleo Combustível,PIE,590000000.0,"Consórcio MPE Montagens e Projetos Especiais, Petrobras Distribuidora S.A., Ellobras Infra-Estrutura e Participações Ltda., Genrent Participações Ltda., Genpower Energy Participações Ltda.",1658794.4219523168
UTE,UTE Campina Grande,A-3,Leilão 2/2007,164.24,123.6,119,132.83,Campina Grande/PB,"Óleo Combustível B1 (especial)
Alternativo: Óleo Diesel",PIE,369806820.0,Wärtsilä do Brasil Ltda.,2251624.573794447
UTE,UTE Global I,A-3,Leilão 2/2007,143.84,105.3,105,135.9,Candeias/BA,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,170000000.0,Global Participações em Energia S.A.,1181868.7430478309
UTE,UTE Global II,A-3,Leilão 2/2007,148.0,109.3,109,135.9,Candeias/BA,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,212000000.0,Global Participações em Energia S.A.,1432432.4324324324
UTE,UTE Itapebi,A-3,Leilão 2/2007,137.6,103.7,103,133.6,Itapebi/BA,"Óleo OCB1
Alternativo: Óleo Diesel",PIE,203025000.0,South Bahia Energia Ltda.,1475472.3837209302
UTE,UTE Maracanaú I,A-3,Leilão 2/2007,162.34,122.9,119,133.13,Maracanaú / CE,Óleo Combustível B1,PIE,355200000.0,Thermes Participações S.A.,2188000.492792904
UTE,UTE Monte Pascoal,A-3,Leilão 2/2007,137.6,104.8,104,132.8,Eunápolis/BA,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,204310000.0,South Bahia Energia Ltda,1484811.046511628
UTE,UTE Nova Olinda,A-3,Leilão 2/2007,165.0,120.8,120,136.0,Nova Olinda/TO,Óleo combustível B1 especial,PIE,325545380.0,Holdenn Construções Assessoria e Consultoria Ltda.,1973002.303030303
UTE,UTE Termonordeste,A-3,Leilão 2/2007,170.76,123.8,123,135.97,Santa Cruz/RN,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,162782000.0,"Termomanaus, Ltda.",953279.4565472008
UTE,UTE Termoparaíba,A-3,Leilão 2/2007,170.8,123.9,123,135.92,Conde/PB,"Óleo Combustível B1
Alternativo: Biodisel e Óleo Diesel",PIE,162782000.0,"Termomanaus, Ltda.",953056.2060889929
UTE,UTE Tocantinópolis,A-3,Leilão 2/2007,165.0,120.8,120,135.9,Tocantinópolis/TO,Óleo combustível B1 especial,PIE,325545380.0,Holdenn Construções Assessoria e Consultoria Ltda.,1973002.303030303
UTE,UTE Viana,A-3,Leilão 2/2007,170.76,121.5,121,133.21,Viana/ES,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,386434720.0,Wärtsilä Brasil Ltda.,2263028.343874444
UTE,UTE Ester (Ampliação),FA,Leilão 3/2007,30.0,10.2,7,138.9,Cosmópolis/SP,Bagaço de Cana-de-Açúcar,PIE,70000000.0,Usina Açucareira Ester S.A. ,2333333.3333333335
UTE,UTE Florida Paulista (Ampliação),FA,Leilão 3/2007,40.0,21.8,8,139.12,Flórida Paulista/SP,Bagaço de Cana-de-Açúcar,PIE,63700000.0,Floralco Açúcar e Álcool Ltda.,1592500.0
UTE,UTE Iacanga,FA,Leilão 3/2007,12.0,7.8,4,138.94,Iacanga/SP,Bagaço de Cana-de-Açúcar,PIE,20990000.0,Usina Iacanga de Açúcar e Álcool Ltda.,1749166.6666666667
UTE,UTE Louis Dreyfus Lagoa da Prata,FA,Leilão 3/2007,60.0,29.8,19,139.12,Lagoa da Prata/MG,Bagaço de Cana-de-Açúcar,PIE,60240000.0,Louis Dreyfus Commodities Bioenergia S.A.,1004000.0
UTE,UTE Louis Dreyfus Rio Brilhante,FA,Leilão 3/2007,90.0,48.9,22,139.12,Rio Brilhante/MS,Bagaço de Cana-de-Açúcar,PIE,53000000.0,Louis Dreyfus Commodities Bioenergia S.A.,588888.8888888889
UTE,UTE Pioneiros II,FA,Leilão 3/2007,50.0,16.9,12,139.12,Ilha Solteira/SP,Bagaço de Cana-de-Açúcar,PIE,60240000.0,Pioneiros Bioenergia S.A.,1204800.0
UTE,UTE Santa Cruz AB (Ampliação),FA,Leilão 3/2007,50.0,28.0,20,138.75,Américo Brasiliense/SP,Bagaço de Cana-de-Açúcar,PIE,57100000.0,Santa Cruz S.A. Açúcar e Álcool,1142000.0
UTE,UTE São João da Boa Vista  (Ampliação),FA,Leilão 3/2007,70.0,23.0,23,138.6,São João da Boa Vista/SP,Bagaço de Cana-de-Açúcar,PIE,101300000.0,Dedini Açúcar e Álcool Ltda.,1447142.857142857
UTE,UTE Xanxerê,FA,Leilão 3/2007,30.0,27.1,25,138.5,Xanxerê/SC,Biomassa de Resíduo Sólido Avícola (Alternativo: Resíduos de Madeira),PIE,42408700.0,Fenix Energy Comercialização e Geração de Energia Elétrica Ltda.,1413623.3333333333
PCH,PCH Pedra Furada,FA,Leilão 3/2007,6.5,3.19,3,134.97,Ribeirão e Joaquim Nabuco/PE,Água,PIE,39902000.0,"Arrara, Koblitz Energia Participações Ltda.",6138769.230769231
PCH,PCH Santa Luzia Alto,FA,Leilão 3/2007,28.5,18.42,14,135.0,São Domingos e Ipauçu/SC,Água,PIE,148438080.0,Construtora Gomes Lourenço Ltda.,5208353.684210527
UTE,UTE São Luiz (Abengoa São Luiz),Reserva,Leilão 1/2008,70.0,24.0,8,60.04,Pirassununga/SP,Bagaço de Cana-de-Açúcar,PIE,264000000.0,Abengoa Bioenergia São Luiz S.A.,3771428.5714285714
UTE,UTE Barra Bioenergia,Reserva,Leilão 1/2008,136.0,51.5,34,60.04,Barra Bonita/SP,Bagaço de Cana-de-Açúcar,PIE,344696000.0,Barra Bioenergia S.A. – Filial UTE Barra Bioenergia,2534529.411764706
UTE,UTE Ben Bioenergia,Reserva,Leilão 1/2008,30.0,26.4,24,58.49,Santa Filomena/PI,"Capim Elefante
(Alternativo: resíduo de madeira)",PIE,101435000.0,"BEN – Bioenergia, Geração e Comercialização de Energia do Nordeste Ltda.",3381166.6666666665
UTE,UTE Bioenergética Vale do Paracatu - BEVAP,Reserva,Leilão 1/2008,80.0,39.2,20,60.02,João Pinheiro/MG,"Bagaço de Cana-de-Açúcar
(Alternativo: palha de cana-de-açúcar)",PIE,141000000.0,Bioenergética Vale do Paracatu Ltda.,1762500.0
UTE,UTE Biopav II,Reserva,Leilão 1/2008,140.0,49.6,15,60.02,Brejo Alegre/SP,Bagaço de Cana-de-Açúcar,PIE,210000000.0,Biopav S.A. Açúcar e Álcool. ,1500000.0
UTE,UTE Bonfim (Ampliação),Reserva,Leilão 1/2008,45.0,18.8,10,60.04,Guariba/SP,Bagaço de Cana-de-Açúcar,PIE,261485000.0,Barra Bioenergia S.A. – Filial UTE Bonfim,5810777.777777778
UTE,UTE Cachoeira Dourada,Reserva,Leilão 1/2008,80.0,35.5,15,60.04,Cachoeira Dourada/GO,Bagaço de Cana-de-Açúcar,PIE,147763000.0,U.S.J. - Açúcar e Álcool S.A.,1847037.5
UTE,UTE Caçú I,Reserva,Leilão 1/2008,130.0,35.5,27,60.04,Caçú/GO,Bagaço de Cana-de-Açúcar,PIE,182581000.0,Rio Claro Agroindustrial S.A.,1404469.2307692308
UTE,UTE CBB - Companhia Bioenergética Brasileira,Reserva,Leilão 1/2008,18.1,6.0,6,59.81,Via Boa/GO,Bagaço de Cana-de-Açúcar,PIE,47680000.0,Alda Participação e Agropecuária S.A.,2634254.143646409
UTE,UTE Clealco-Queiroz  (Ampliação),Reserva,Leilão 1/2008,35.0,11.3,7,60.49,Queiroz/SP,Bagaço de Cana-de-Açúcar,PIE,35900000.0,Clealco Açúcar e Álcool S.A.,1025714.2857142857
UTE,UTE Cocal II (Ampliação),Reserva,Leilão 1/2008,120.0,55.5,22,61.0,Narandiba/SP,Bagaço de Cana-de-Açúcar,PIE,197500000.0,Cocal Comércio e Indústria Canaã Açúcar e Álcool Ltda.,1645833.3333333333
UTE,UTE Companhia Energética Vale do São Simão,Reserva,Leilão 1/2008,50.0,12.6,12,59.79,Santa Vitória/MG,Bagaço de Cana-de-Açúcar,PIE,72289000.0,Companhia Energética Vale do São Simão,1445780.0
UTE,UTE Conquista do Pontal,Reserva,Leilão 1/2008,100.0,26.0,22,60.04,Mirante do Paranapanema/SP,Bagaço de Cana-de-Açúcar,PIE,157500000.0,Usina Conquista do Pontal S.A,1575000.0
UTE,UTE Decasa,Reserva,Leilão 1/2008,75.0,43.0,16,59.9,Caiuá/SP,"Bagaço de Cana-de-Açúcar
(Alternativo: palha e ponta de cana-de-açúcar)",PIE,199000000.0,DECASA - Destilaria de Álcool Caiuá S.A.,2653333.3333333335
UTE,UTE Destilaria Andrade (Ampliação),Reserva,Leilão 1/2008,40.2,20.0,20,59.8,Pitangueiras/SP,Bagaço de Cana-de-Açúcar,AP c/ EXCEDENTE,76660000.0,"Consórcio Andrade - Ibitiúva Bioenergética S.A. (58,42% - Líder do Consórcio); e Andrade Açúcar e Álcool S.A. (41,58%) ",1906965.1741293531
UTE,UTE Ferrari (Ampliação),Reserva,Leilão 1/2008,65.5,23.2,6,60.76,Pirassununga/SP,Bagaço de Cana-de-Açúcar,PIE,13365000.0,Ferrari Termoelétrica S.A.,204045.80152671755
UTE,UTE Jataí,Reserva,Leilão 1/2008,105.0,41.0,34,60.04,Jataí/SP,Bagaço de Cana-de-Açúcar,PIE,327780000.0,Cosan Centroeste S.A. Açúcar e Álcool,3121714.285714286
UTE,UTE Noble Energia,Reserva,Leilão 1/2008,30.0,16.0,11,60.0,Sebatianópolis do Sul/AP,Bagaço de Cana-de-Açúcar,PIE,52500000.0,Usina Noroeste Paulista Ltda.,1750000.0
UTE,UTE Noroeste Paulista,Reserva,Leilão 1/2008,78.0,20.4,11,59.97,Sebatianópolis do Sul/AP,Bagaço de Cana-de-Açúcar,PIE,80800000.0,Usina Noroeste Paulista Ltda.,1035897.4358974359
UTE,UTE Porto das Águas,Reserva,Leilão 1/2008,70.0,12.5,12,60.04,Chapadão do Céu/GO,Bagaço de Cana-de-Açúcar,PIE,129658000.0,Usina Porto das Águas Ltda.,1852257.142857143
UTE,UTE Santa Luzia I,Reserva,Leilão 1/2008,130.0,35.5,26,60.04,Nova Alvorada do Sul/MS,Bagaço de Cana-de-Açúcar,PIE,182581000.0,Agro Energia Santa Luzia Ltda.,1404469.2307692308
UTE,UTE São Fernando Açúcar e Álcool,Reserva,Leilão 1/2008,48.0,13.7,5,59.34,Dourados/MS,"Bagaço de Cana-de-Açúcar 
(Alternativo: cavaco de madeira)",PIE,75196000.0,São Fernando Açúcar e Álcool Ltda.,1566583.3333333333
UTE,UTE Ipaussu,Reserva,Leilão 1/2008,62.0,24.3,19,60.04,Ipaussu/SP,Bagaço de Cana-de-Açúcar,PIE,213413000.0,Barra Bioenergia S.A.,3442145.1612903224
UTE,UTE Unidade de Bioenergia Água Emendada,Reserva,Leilão 1/2008,72.7,27.0,27,54.73,Mineiros/GO,"Bagaço de Cana-de-Açúcar 
(Alternativo: resíduos agrícolas)",PIE,96360000.0,Central Energética Água Emendada S.A.,1325447.0426409903
UTE,UTE Unidade de Bioenergia Alto Taquari,Reserva,Leilão 1/2008,72.7,27.0,27,52.69,Alto Taquari/MT,"Bagaço de Cana-de-Açúcar 
(Alternativo: resíduos agrícolas)",PIE,96360000.0,Brenco Companhia Brasileira de Energia Renovável,1325447.0426409903
UTE,UTE Unidade de Bioenergia Costa Rica,Reserva,Leilão 1/2008,72.7,27.0,27,53.74,Costa Rica/MS,"Bagaço de Cana-de-Açúcar 
(Alternativo: resíduos agrícolas)",PIE,96360000.0,Brenco Companhia Brasileira de Energia Renovável,1325447.0426409903
UTE,UTE Unidade de Bioenergia Morro Vermelho,Reserva,Leilão 1/2008,72.7,27.0,27,55.87,Mineiros/GO,"Bagaço de Cana-de-Açúcar 
(Alternativo: resíduos agrícolas)",PIE,96360000.0,Brenco Companhia Brasileira de Energia Renovável,1325447.0426409903
UTE,UTE Chapadão Agroenergia,Reserva,Leilão 1/2008,192.0,39.8,12,60.04,Chapadão do Sul/MS,Bagaço de Cana-de-Açúcar,PIE,340000000.0,Chapadão Agroenergia Ltda.,1770833.3333333333
UTE,UTE Pernambuco IV,A-3,Leilão 2/2008,200.79,112.4,107,130.97,Igarassu/PE,"Óleo Combustível Especial B1
Alternativo:  Óleo Diesel",PIE,329383000.0,Consórcio Pernambuco IV - Multiner S.A. (99% - Líder do Consórcio); e A&G Energia Empreendimentos Ltda. - ME (1%),1640435.2806414664
UTE,UTE Santa Rita de Cássia ,A-3,Leilão 2/2008,174.6,97.8,93,129.79,Santa Rita/PB,"Óleo Combustível Especial B1
Alternativo:  Óleo Diesel",PIE,285259000.0,Consórcio Santa Rita de Cássia - Multiner S.A. (90% - Líder do Consórcio); e Gênesis 2000 Exploração e Produção de Hidrocarbonetos Ltda. (10%),1633785.796105384
UTE,UTE José de Alencar,A-3,Leilão 2/2008,300.0,173.3,169,131.41,Caucaia/CE,Gás Natural Liquefeito,PIE,631249000.0,"Consórcio Agroenergia -  Thermes Participações S.A. (99,952%) e Agroenergia do Norte S.A. (0,047%)  ",2104163.3333333335
UTE,UTE MC2 Catu,A-3,Leilão 2/2008,176.0,105.7,102,126.85,Catu/BA,Óleo Combustível,PIE,327130000.0,"Consórcio MC2 EB BA1 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Lltda. 99,99%",1858693.1818181819
UTE,UTE MC2 Camaçari 1,A-3,Leilão 2/2008,176.0,105.7,102,125.85,Camaçari/BA,Óleo Combustível,PIE,327130000.0,"Consórcio MC2 EB BA1 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)",1858693.1818181819
UTE,UTE MC2 Dias Dávila 1,A-3,Leilão 2/2008,176.0,105.7,102,126.35,Dias Dávila/BA,Óleo Combustível,PIE,327130000.0,"Consórcio MC2 EB BA 2 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)",1858693.1818181819
UTE,UTE MC2 Dias Dávila 2,A-3,Leilão 2/2008,176.0,105.7,102,125.35,Dias Dávila/BA,Óleo Combustível,PIE,327130000.0,"Consórcio MC2 EB BA2 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)",1858693.1818181819
UTE,UTE MC2 Feira de Santana,A-3,Leilão 2/2008,176.0,105.2,101,127.85,Feira de Santana/BA,Óleo Combustível,PIE,327130000.0,"Consórcio MC2 EC RS BA - Ellocin Brasil Participações e Consultoria Empresarial Ltda. (0,01%) e
Águas Guariroba Ambiental Ltda. (99,99%)",1858693.1818181819
UTE,UTE Linhares,A-3,Leilão 2/2008,204.0,98.7,96,130.0,Linhares/ES,Gás Natural,PIE,283148000.0,Consórcio Linhares - Linhares Energia Ltda (50%) e Fundo de Investimento em Participações Brasil Energia (50%),1387980.3921568627
UTE,UTE MC2 Senhor do Bonfim,A-3,Leilão 2/2008,176.0,105.7,102,127.84,Senhor do Bonfim,Óleo Combustível,PIE,327130000.0,"Consórcio MC2 EB BA3 - Ellobras Infraestrutura e Participações Ltda. (0,01%) e 
Águas Guariroba Ambiental Ltda. (99,99%)",1858693.1818181819
