tipo,usina,tipo_de_leilao,leilao,pot_MW,garantia_fisica_MW_medio,lotes_vendidos,preco_por_MW,localizacao,fonte,mod,invest_previsto,empresa_consorcio 
EOL,EOL Porto Salgado,A-3,Leilão 2/2011,"18,00","9,1","9,1","100,17",PI ,Vento,PIE,"67.855.580,00","Consórcio Omega - Porto Salgado 
Omega Energia Renovável S.A.
Zeta Energia S.A."
EOL,EOL Santo Antonio de Pádua,A-3,Leilão 2/2011,"16,10","8,2","6,4","104,23",CE ,Vento,PIE,"61.727.000,00",Central Eólica Santo Antônio de Pádua S.A.
EOL,EOL São Cristóvão,A-3,Leilão 2/2011,"29,90","14,2","12,9","103,79",CE ,Vento,PIE,"111.343.000,00",Central Eólica São Cristóvão S.A.
EOL,EOL São Jorge,A-3,Leilão 2/2011,"27,60","13,2","12,1","103,98",CE ,Vento,PIE,"104.897.000,00",Central Eólica São Jorge S.A.
EOL,EOL Serra do Espinhaço,A-3,Leilão 2/2011,"17,60","8,9","8,9","98,53",BA ,Vento,PIE,"69.179.030,00",Renova Energia S.A.
EOL,EOL Tacaicó,A-3,Leilão 2/2011,"18,00","8,8",4,"98,55",PE ,Vento,PIE,"89.724.000,00","Consórcio EGP - Fontes dos Ventos 
Enel Brasil Participações Ltda.
Parque Eólico Fontes dos Ventos Ltda."
UTE,UTE Vale do Tijuco II,A-3,Leilão 2/2011,"40,00",30,9,"102,30",MG ,Bagaço de Cana-de-Açúcar,PIE,"68.720.000,00",Vale do Tijuco Açúcar e Álcool Ltda.
EOL,EOL Verace I,A-3,Leilão 2/2011,"20,00","8,5","8,5","98,50",RS ,Vento,PIE,"76.110.000,00","Consórcio Verace I: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Verace II,A-3,Leilão 2/2011,"20,00","8,3","8,3","98,64",RS ,Vento,PIE,"76.110.000,00","Consórcio Verace II: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Verace III,A-3,Leilão 2/2011,"26,00",11,11,"98,19",RS ,Vento,PIE,"98.944.000,00","Consórcio Verace III: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Verace IV,A-3,Leilão 2/2011,"30,00","13,1","13,1","97,74",RS ,Vento,PIE,"114.065.000,00","Consórcio Verace VI: 
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Verace IX,A-3,Leilão 2/2011,"30,00","12,7","12,7","98,21",RS ,Vento,PIE,"114.065.000,00","Consórcio Verace IX:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Verace V,A-3,Leilão 2/2011,"30,00","12,4","12,4","98,21",RS ,Vento,PIE,"114.065.000,00","Consórcio Verace V:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Verace VI,A-3,Leilão 2/2011,"18,00","7,6","7,6","98,47",RS ,Vento,PIE,"68.511.000,00","Consórcio Verace VI:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Verace VII,A-3,Leilão 2/2011,"30,00","12,7","12,7","97,86",RS ,Vento,PIE,"114.065.000,00","Consórcio Verace VII:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Verace VIII,A-3,Leilão 2/2011,"26,00","10,8","10,8","98,19",RS ,Vento,PIE,"98.944.000,00","Consórcio Verace VIII:
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Verace X,A-3,Leilão 2/2011,"28,00","12,1","12,1","98,43",RS ,Vento,PIE,"106.568.000,00","Consórcio Verace X
Eletrosul Centrais Elétricas S.A.
Rio Bravo Energia I - Fundo de Investimento em Participações
Verace Energia Eólica Ltda."
EOL,EOL Angical,Reserva,Leilão 3/2011,"16,00",6,6,"99,98",Pindaí/BA,Vento,PIE,"67.582.050,00","Consórcio Brazil Wind:
Brazil Energy S.A.
Sequóia Capital Ltda."
UTE,UTE Bevap,Reserva,Leilão 3/2011,"60,00","33,1",1,"100,09",João Pinheiro/MG,UTE,PIE,"51.500.000,00",Bioenergética Vale do Paracatu S.A.
EOL,EOL Caiçara 2,Reserva,Leilão 3/2011,"28,80","14,5","14,5","100,07",Caiçara do Norte/RN,Vento,PIE,"105.970.000,00",Bioenergy Geradora de Energia S.A.
EOL,EOL Caiçara do Norte 1,Reserva,Leilão 3/2011,"28,80","13,7","13,7","100,07",Caiçara do Norte/RN,Vento,PIE,"105.970.000,00",Bioenergy Geradora de Energia S.A.
EOL,EOL Caititu,Reserva,Leilão 3/2011,"20,80","10,5","10,5","99,98",Pindaí/BA,Vento,PIE,"36.837.700,00","Consórcio Brazil Wind:
Brazil Energy S.A.
Sequóia Capital Ltda."
EOL,EOL Carcará 1,Reserva,Leilão 3/2011,"28,80","16,3","13,8","99,92",Areia Branca/RN,Vento,PIE,"142.685.000,00","Consórcio Carcará 1: 
Voltalia Energia do Brasil Ltda.
Voltalia S.A."
EOL,EOL Carnaúbas,Reserva,Leilão 3/2011,"27,20","13,1","13,1","98,92",São Miguel do Gostoso/RN,Vento,PIE,"127.088.000,00","Consórcio Carnaúbas: 
Voltalia Energia do Brasil Ltda.
Voltalia S.A."
EOL,EOL Coqueirinho,Reserva,Leilão 3/2011,"22,40","13,5","13,5","96,97",Pindaí/BA,Vento,PIE,"39.671.180,00","Consórcio Brazil Wind:
Brazil Energy S.A.
Sequóia Capital Ltda."
EOL,EOL Corredor do Senandes II,Reserva,Leilão 3/2011,"21,60","10,6","10,6","99,50",Rio Grande/RS,Vento,PIE,"83.002.150,00","Consórcio Investidor Corredor do Senandes II: 
Odebrecht Energias Alternativas S.A.
Central Geradora Eólica Corredor do Senandes II Ltda."
EOL,EOL Corredor do Senandes III,Reserva,Leilão 3/2011,"27,00","13,2","13,2","99,50",Rio Grande/RS,Vento,PIE,"103.706.950,00","Consórcio Investidor Corredor do Senandes III: 
Odebrecht Energias Alternativas S.A.
Central Geradora Eólica Corredor do Senandes III Ltda."
EOL,EOL Corredor do Senandes IV,Reserva,Leilão 3/2011,"27,00","12,9","12,9","99,50",Rio Grande/RS,Vento,PIE,"103.706.950,00","Consórcio Investidor Corredor do Senandes IV:
Odebrecht Energias Alternativas S.A.
Central Geradora Eólica Corredor do Senandes IV Ltda."
